id,Typologie cadeau,Cadeau,Lien,image_url,Tranche d'âge,Budget cible,Prix,Occasion,Activités / Centres d'intérêts,Relation,Personnalité / Préférences,Genre,Tags,Catégorie de Produit,Évaluations Produit,Marque,Options de Personnalisation,Éco-responsable,Couleur,Dimensions,Matériau,Description,,,,,,,,,,,,,,
31,Utilitaire,Baignoire pour bébé pliable,https://www.amazon.fr/dp/B0BRSDMMWM/ref=cm_gf_aBN_d_bf30_bt50_p0_e0_qd0_ytymAMaA5XORsyC0AQaa?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=f02e6af422e270f66076477bc9ecfd8c&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71LiRY3CrpL._AC_SX569_.jpg,0 - 6 ans,35 - 50 €,46€,Naissance,N/A,Famille,N/A,Mixte,enfant, bain,Baignoir,4.5,RABB 1ST,Non,Non,Bleu / Gris,43L x 9l x 63H centimètres,Polypropylène (PP),"""Idéal pour les tout-petits, Baignoire pour bébé pliable stimule l'éveil et la curiosité.""",,,,,,,,,,,,,
32,Utilitaire,Mobile Musical,https://www.amazon.fr/dp/B0B5XHKTHW/ref=cm_gf_aBN_d_bf30_bt50_p0_e0_qd2_gQrPjzD3yiqXD4v2mQnW?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=086969a6e258e52eff521ece73eff336&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61nJNurBd5L._AC_SY606_.jpg,0 - 6 ans,35 - 50 €,47€,Naissance,N/A,Famille,N/A,Mixte,enfants, jeux ,Jeux,4.3,NICI,Non,Non,Multi,40 x 40 x 65 centimètres,Polyester,"""Idéal pour les tout-petits, Mobile Musical stimule l'éveil et la curiosité.""",,,,,,,,,,,,,
33,Utilitaire,Tapis de jeu,https://www.amazon.fr/dp/B0BK5J9XT7/ref=cm_gf_aBN_d_bf50_bt100_p0_e0_qd0_DrFgDftxnRH1F8Lxv26Q?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=8e29d1ae07c8d1746e74b6b3f779134d&camp=1642&creative=6746,https://m.media-amazon.com/images/I/915YC9WFp4L.__AC_SX300_SY300_QL70_ML2_.jpg,0 - 6 ans,50 - 75 €,50€,Naissance,N/A,,N/A,Mixte,enfants, literie,Tapis ,4.6,Superbe bebe,Non,Non,Multi,180x160cm,Mousse ,"""Idéal pour les tout-petits, Tapis de jeu stimule l'éveil et la curiosité.""",,,,,,,,,,,,,
34,Utilitaire,Rangement pour jouet,https://www.amazon.fr/dp/B09NS4BJW2/ref=cm_gf_aBN_d_bf50_bt100_p0_e0_qd0_gxs9ajbCrqV0jVEgtlGP?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=9a60fc104312d1d6e6051b6ac45d0c83&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71jyrvzHpdL.__AC_SX300_SY300_QL70_ML2_.jpg,0 - 6 ans,50 - 75 €,55€,Naissance,N/A,,,Mixte,enfant, meuble,Rangement,4.2,Amazon Basics,Non,Non,Bleu,"""27,7P x 85,3l x 79H centimètres""",Plastique,"""Idéal pour une chambre d’enfant ou une salle de jeux ; pour y ranger des jouets et des jeux, du matériel de bricolage et bien plus encore""",,,,,,,,,,,,,
35,Peluche,Peluche géante,https://www.amazon.fr/dp/B09XBK4SZY/ref=cm_gf_aBN_d_bf50_bt100_p0_e0_qd0_Id7E252dNGUbLsIan9fU?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=ef5dd6fc86cea2f7734fc328f9e7b636&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61F9wpf-+uL._AC_SL1500_.jpg,0 - 6 ans,50 - 75 €,139€,Naissance,N/A,,N/A,Mixte,enfants, peluche ,Peluche ,,Histoire d'ours,Non,Non,Blanc,65 cm,Polyester," ""une peluche élégante et toute douce""",,,,,,,,,,,,,
36,Utilitaire,Berceau,https://www.amazon.fr/dp/B09JCMVW61/ref=cm_gf_aBN_d_bf50_bt100_p0_e0_qd1_5HTqNIzAT2muC3XZbMns?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=21fdc4dbb6b3f83a67288e3d3156aff2&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71XBjQb+hcL._AC_SY300_SX300_.jpg,0 - 6 ans,75 - 100 €,92€,Naissance,N/A,,N/A,Mixte,enfans, couchage,Berceau,4.4,BEBECONFORT,Non,Non,Gris / Noir,51L x 29l x 86H centimètres,,"""Lit bébé pour le co-sleeping avec côté rétractable pour faire dormir bébé à côté du lit des parents en toute sécurité""",,,,,,,,,,,,,
37,Utilitaire,Cuiseur multi-fonction,https://www.amazon.fr/dp/B09Z1TLFZ8/ref=cm_gf_aBN_d_bf50_bt100_p0_e0_qd1_mSS9U52jNOfJw7xQxp79?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=c4b1631f24895f36e0133332aa35f2b0&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61x9a+75ZvL._AC_SY300_SX300_.jpg,28-40 ans,75 - 100 €,70€,Naissance,N/A,,N/A,Mixte,adulte, cuisine,Cuiseur multi-fonction,5.4,KOSTTE,Non,Non,Noir,"""29,5P x 14,8l x 24,5H centimètres""",,"""Cet appareil est très simple d’utilisation. Il est prévu pour s'adapter aux différents âges de bébé (purée, mouliné, haché, entier). Permet de cuisiner des repas sains pour bébé""",,,,,,,,,,,,,
38,Utilitaire,Chaise haute,https://www.amazon.fr/dp/B08MBC4WQ9/ref=cm_gf_aBN_d_bf50_bt100_p0_e0_qd1_VEKRXPrOGHK0Y3VEzIn9?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=c1bcf8b994585be57a4589c986a77f4d&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61GXlncUCPL.__AC_SX300_SY300_QL70_ML2_.jpg,0 - 6 ans,75 - 100 €,76€,Naissance,N/A,,N/A,Mixte,enfant, meuble,Chaise haute,4.1,KINDERKRAFT,Non,Non,Marron,"""49,5P x 79,5l x 49H centimètres""",Bois,"""c’est une chaise pour les repas et pour les enfants plus grands: 2 en 1.A partir de 6 mois jusqu’à 10 ans! """,,,,,,,,,,,,,
39,Utilitaire,Landeau,https://www.amazon.fr/dp/B00Q4PEXKS/ref=cm_gf_aBN_d_bf100_bt200_p0_e0_qd0_Al7LgVgJVCTNayQRCFKK?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=f28f6d951933ffd24cfa45063ff64fa4&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61KeDm36rOL._AC_SL1500_.jpg,0 - 6 ans,100 € +,165€,Naissance,N/A,,N/A,Mixte,enfant, meuble,Landeau,4.5,waldin baby collection,Non,Non,Blanc,110L x 70l x 130H centimètres,Osier,"""berceau avec des roues""",,,,,,,,,,,,,
40,Utilitaire,Robot multifonction bébé,"https://www.amazon.fr/dp/B00CWXWB6O/ref=cm_gf_aBN_d_bf100_bt200_p0_e0_qd0_lV8ytoCOGOUjlZcjvXcy?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=ed7f198d257e6e1c43b046007f3b35c6&camp=1642&creative=6746""",https://m.media-amazon.com/images/I/71ALjg32JiL._AC_SL1500_.jpg,28-40 ans,100 € +,,Naissance,N/A,,N/A,Mixte,adulte, cuisine,Robot Multifonction Bébé,3.9,Baby Brezza,Non,Non,Blanc/Gris/Noir,"""22P x 28,5l x 24,5H centimètres""",,"""Cuit et mixe en une seule étape, dans un seul et unique récipient""",,,,,,,,,,,,,
41,Utilitaire,Table à manger avec baignoire,https://www.amazon.fr/dp/B00133UK2Q/ref=cm_gf_aBN_d_bf100_bt200_p0_e0_qd0_CqIMGiShsFbswbKNFOfB?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=f80a6333c79b96e3ea555e9861530579&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61fP1kAeJ1L._AC_SL1500_.jpg,0 - 6 ans,100 € +,185€,Naissance,N/A,,N/A,Mixte,enfant, meuble,Table à langer,4.2,Roba,Non,Non,Blanc / Marron,L 56 x P 83 x H 100 cm,Bois,"""la table à langer et baignoire 2en1 est particulièrement pratique, elle est idéale pour les petits espaces et facile à déplacer grâce aux 6 roulettes à freins incluses""",,,,,,,,,,,,,
42,Tech,Kindle,https://www.amazon.fr/dp/B09SWRYPB2/ref=s9_acsd_al_bw_c2_x_0_i?pf_rd_m=A1X6FK5RDHNB96&amp,pf_rd_s=merchandised-search-3&amp,pf_rd_r=F8JP8R9QYM3DT527ZXJ7&amp,pf_rd_t=101&amp,pf_rd_p=feeb65e2-c8a7-4c2e-bdb5-fc759b112561&amp,pf_rd_i=11138587031&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=e4699e9e10918106065413ad1c1dfe59&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51RwE+-DSvL._AC_SL1000_.jpg,12 - 18 ans,100 € +,100€,Noël,Lecture,Mixte,N/A,Mixte,Liseuse,Livre,"4,5",Kindle,Non,Non,Noir,"""157,8 x 108,6 x 8,0 mm""",Plastique/magnésium,"""Plongez dans votre lecture : déconnectez-vous de vos messages, e-mails et réseaux sociaux grâce à un appareil conçu spécialement pour la lecture, sans distraction.""",,,,,,,,,
43,Tech,Kindle,https://www.amazon.fr/dp/B09SWRYPB2/ref=s9_acsd_al_bw_c2_x_0_i?pf_rd_m=A1X6FK5RDHNB96&amp,pf_rd_s=merchandised-search-3&amp,pf_rd_r=F8JP8R9QYM3DT527ZXJ7&amp,pf_rd_t=101&amp,pf_rd_p=feeb65e2-c8a7-4c2e-bdb5-fc759b112561&amp,pf_rd_i=11138587031&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=e4699e9e10918106065413ad1c1dfe59&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51RwE+-DSvL._AC_SL1000_.jpg,12 - 18 ans,100 € +,100€,Anniversaire,Lecture,Famille,N/A,Mixte,Liseuse,Livre,"4,5",Kindle,Non,Non,Noir,"""157,8 x 108,6 x 8,0 mm""",Plastique/magnésium,"""Plongez dans votre lecture : déconnectez-vous de vos messages, e-mails et réseaux sociaux grâce à un appareil conçu spécialement pour la lecture, sans distraction.""",,,,,,,,,
44,Tech,Caisson de basse,https://www.amazon.fr/Echo-Sub-Caisson-De-Basses-Puissant-Pour-Votre-Echo/dp/B07FHLTV68/ref=sr_1_12?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=appareils+amazon&amp,pf_rd_r=G0NM6XT1JBGZ3E8JXQDF&amp,refinements=p_89%253AAmazon&amp,rnid=428393031&amp,s=computers&amp,sr=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=bf660fb00bf90f2f126733f62b8b2080&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71VeHhcq9PL._AC_SL1000_.jpg,28 - 40 ans,100 € +,130€,Anniversaire,Musique,Famille,N/A,Mixte,Audio,Haut-parleur,High tech,"4,4",Echo Sub,Non,Non,Noir,202 x 210 mm,Plastique,"""Jumelez Echo Sub avec un appareil Echo ou Echo Plus (vendus séparément) pour profiter d'une musique dynamique qui remplit la pièce d'un son riche.""",,,,,,,
45,Tech,Caisson de basse,https://www.amazon.fr/Echo-Sub-Caisson-De-Basses-Puissant-Pour-Votre-Echo/dp/B07FHLTV68/ref=sr_1_12?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=appareils+amazon&amp,pf_rd_r=G0NM6XT1JBGZ3E8JXQDF&amp,refinements=p_89%253AAmazon&amp,rnid=428393031&amp,s=computers&amp,sr=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=bf660fb00bf90f2f126733f62b8b2080&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71VeHhcq9PL._AC_SL1000_.jpg,28 - 40 ans,100 € +,130€,Anniversaire,Musique,Amis,N/A,Mixte,Audio,Haut-parleur,High tech,"4,4",Echo Sub,Non,Non,Noir,202 x 210 mm,Plastique,"""Jumelez Echo Sub avec un appareil Echo ou Echo Plus (vendus séparément) pour profiter d'une musique dynamique qui remplit la pièce d'un son riche.""",,,,,,,
46,Activité,Micro Karaoke,https://www.amazon.fr/Microphone-Bluetooth-Anniversaire-Compatible-Smartphone/dp/B0B3TNQR4N/ref=sr_1_7?keywords=micro+karaoke&amp,sr=8-7&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=2d2eedf2c7921656013142e96af15f5a&camp=1642&creative=6746,https://m.media-amazon.com/images/I/81-XMpdYppL._AC_SL1500_.jpg,18 - 28 ans,20 - 35 €,15€,Secret Santa,Musique,Famille,N/A,Femme,Micro,Haut-parleur,High tech,"4,3",Hayruoy,Non,Non,Bleue/Noir/Rose/Violet,115Db,Lithium-polymère,"""Micro karaoke enfant bluetooth portable est conçu pour que vous puissiez chanter n'importe où! Également un haut-parleur portable incroyable si vous voulez simplement profiter de la musique. Il peut également être utilisé comme radio FM. Parfait pour le chant KTV, le chant de fête, le chant de famille""",,,,,,,,,,,,
47,Déco,Lampe coucher de soleil,"https://www.amazon.fr/projection-arc-en-ciel-visuelle-romantique-Rotation/dp/B091TTLYGX/ref=sr_1_7?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp;keywords=lampe&amp;sr=8-7&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=1a0b98039e578562dee83ad10a43e5b1&camp=1642&creative=6746"">Prezent</a>",https://m.media-amazon.com/images/I/71NEdELNhzL._AC_SL1500_.jpg,12 - 18 ans,20 - 35 €,,Anniversaire,N/A,Amis,N/A,Femme,Lampe,Décoration,4,CoMokin,Non,Non,Noir,"""6,3P x 6,3l x 21,5H centimètres""","Aluminium
","""Cette lumière de projet de coucher de soleil vous permet d'avoir un sens moderne et romantique, une atmosphère chaleureuse et agréable pour vous et votre famille, et une qualité de vie. Apportez du bonheur et une belle expérience à la famille et aux enfants.""",,,,,,,,,,,,,,
48,Déco,Lampe coucher de soleil,"https://www.amazon.fr/projection-arc-en-ciel-visuelle-romantique-Rotation/dp/B091TTLYGX/ref=sr_1_7?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp;keywords=lampe&amp;sr=8-7&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=1a0b98039e578562dee83ad10a43e5b1&camp=1642&creative=6746"">Prezent</a>",https://m.media-amazon.com/images/I/71NEdELNhzL._AC_SL1500_.jpg,12 - 18 ans,20 - 35 €,,Noël,N/A,Mixte,N/A,Femme,Lampe,Décoration,4,CoMokin,Non,Non,Noir,"""6,3P x 6,3l x 21,5H centimètres""","Aluminium
","""Cette lumière de projet de coucher de soleil vous permet d'avoir un sens moderne et romantique, une atmosphère chaleureuse et agréable pour vous et votre famille, et une qualité de vie. Apportez du bonheur et une belle expérience à la famille et aux enfants.""",,,,,,,,,,,,,,
49,Bien-être,Lisseur cheveux,https://www.amazon.fr/dp/B008SO7JZ4/ref=cm_gf_aAF_d_bf30_bt50_p0_e0_qd0_cXM0cNnvyycXLE2UGXLl?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=9f5c051c2a0f8e489bee89461de42567&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51vTqNs2drL._AC_SL1200_.jpg,28 - 40 ans,35 - 50 €,40€,Anniversaire,Beauté,Amis,Prend soin de soi,Femme,Lisseur cheveux,High tech,,Remington,Non,Non,Doré,N/A,,,,,,,,,,,,,,,,
50,Sport,écouteurs sans fil,https://www.amazon.fr/Ecouteurs-Bluetooth-doreille-Affichage-Profondes/dp/B09YC24Q43/ref=sr_1_26?refinements=p_36%253A680944011%252Cp_n_feature_thirteen_browse-bin%253A27315993031&amp,rnid=27315992031&amp,s=electronics&amp,sr=1-26&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=242a134145034421a9d12a7db6626687&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61FF2+QNFjL._AC_SL1500_.jpg,28 - 40 ans,20 - 35 €,26€,Noel,Musique ,Famille,N/A,Mixte,appareil connecté, écouteurs ,High Tech ,N/A,Cascho,Non,Non,Rose,N/A,Aluminium,"""Écouteurs bluetooth sans fil sport avec 3 paires (S/M/L) d'oreillettes en silicone souple pour une force stable et régulière. Grâce à la conception antidérapante de l'extrémité des crochets d'oreille, ils ne tomberont pas, même lors d'un exercice physique intense. Ils sont dotés d'une technologie d'imperméabilisation par nano-revêtement et de scellement des coutures conforme à la norme IPX7""",,,,,,,,,,
51,Sport,écouteurs sans fil,https://www.amazon.fr/JVC-%25C3%2589couteurs-Auriculaires-Bluetooth-R%25C3%25A9sistance/dp/B09B12KJGH/ref=sr_1_125?refinements=p_36%253A3500-5000%252Cp_n_feature_thirteen_browse-bin%253A27315993031%252Cp_n_condition-type%253A15135266031&amp,rnid=389179011&amp,s=electronics&amp,sr=1-12&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=c3c1421bf370acd6bee4627cdc207608&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61FF2+QNFjL._AC_SL1500_.jpg,28 - 40 ans,35 - 50 €,30€,Noel,Musique ,Amis,N/A,Mixte,appareil connecté, écouteurs ,High Tech ,N/A,JVC,Non,Non,Rouge,N/A,Aluminium,"""L'ergonomie bien pensée, des écouteurs à la boite de chargement, la manipulation est facile.
Légers et discrets, ils tiennent très bien en place.
Le design et la jolie couleur bleu myrtille.
Le bluetooth 5.1 au top: connexion quasi immédiate avec mon Iphone et qui reste très stable.
Son clair, suffisamment puissant et sans saturation.""",,,,,,,,,,
52,voyage,sac de voyage,https://www.amazon.fr/Travel-Duffel-Weekender-voyage-Luggage/dp/B09XGSFCKB/ref=sr_1_24?keywords=Lekesky&amp,sr=8-24&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=06f62ec417a96280438bde5356a1b5bc&camp=1642&creative=6746,https://m.media-amazon.com/images/I/81hvXJtkZIL._AC_SL1467_.jpg,28 - 40 ans,35 - 50 €,44€,Noel,Mode ,Famlle,N/A,Homme,adulte, Mode ,Accessoire,4.5,Baocha ,Non,Non,Multi ,N/A,Polyester ,"""Bagage à main : Un sac à main pour voler qui sert également de sac de sport, de nuit, d'hôpital ou de week-end""",,,,,,,,,,,
53,Cuisine,Porte bouteilles,https://www.amazon.fr/Travel-Duffel-Weekender-voyage-Luggage/dp/B09XGSFCKB/ref=sr_1_24?keywords=Lekesky&amp,sr=8-24&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=06f62ec417a96280438bde5356a1b5bc&camp=1642&creative=6746,https://m.media-amazon.com/images/I/91gTLTSR7YL._AC_SL1500_.jpg,29 - 40 ans,150 € +,160€,Mariage,Décoration,Famille,N/A,Mixte,adulte, meuble ,Ameublement ,4.2,DanDibo,Non,Non,Multi,N/A,Bois,"""Casier à vin Tonneau à vin pour 24 bouteilles brun décapé
Des véritables meubles neufs, fait main, pas d'autre travaux de montage nécessaire!""",,,,,,,,,,,
54,Jeux de société,Uno,https://www.amazon.fr/Minimalista-%C3%A9dition-sp%C3%A9ciale-minimaliste-GYH69/dp/B089DR3N7S/ref=sr_1_2_mod_primary_new?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=EQ875GUPB2LB&amp,keywords=uno%252Bblack&amp,qid=1702409196&amp,sbo=RZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D&amp,sprefix=uno%252Bblack%252Caps%252C105&amp,sr=8-2&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=8e2bbbd1e7ada2097366838d323b467e&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61TJguAgvFL._AC_SL1500_.jpg,15-40 ans,5 - 20 €,14€,Secret Santa ,Jeux de société,Collègue ,Aime jouer, compétitif,Mixte,Jeux de société,Jeux de carte,,Uno,Non,Non,,,,"""La règle du jeu est la même que pour le UNO classique. Les joueurs doivent associer les cartes qui ont les mêmes couleurs ou chiffres. Les cartes Action et les cartes Défi peuvent changer le cours du jeu
Jeu pour 2 à 10 joueurs à partir de 7 ans""",,,,,,
55,Jeux de société,Uno,https://www.amazon.fr/Minimalista-%C3%A9dition-sp%C3%A9ciale-minimaliste-GYH69/dp/B089DR3N7S/ref=sr_1_2_mod_primary_new?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=EQ875GUPB2LB&amp,keywords=uno%252Bblack&amp,qid=1702409196&amp,sbo=RZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D&amp,sprefix=uno%252Bblack%252Caps%252C105&amp,sr=8-2&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=8e2bbbd1e7ada2097366838d323b467e&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61TJguAgvFL._AC_SL1500_.jpg,15-40 ans,5 - 20 €,14€,Anniversaire ,Jeux de société,Famille,Aime jouer, compétitif,Mixte,Jeux de société,Jeux de carte,,Uno,Non,Non,,,,"""La règle du jeu est la même que pour le UNO classique. Les joueurs doivent associer les cartes qui ont les mêmes couleurs ou chiffres. Les cartes Action et les cartes Défi peuvent changer le cours du jeu
Jeu pour 2 à 10 joueurs à partir de 7 ans""",,,,,,
56,Jeux de société,Uno,https://www.amazon.fr/Minimalista-%C3%A9dition-sp%C3%A9ciale-minimaliste-GYH69/dp/B089DR3N7S/ref=sr_1_2_mod_primary_new?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=EQ875GUPB2LB&amp,keywords=uno%252Bblack&amp,qid=1702409196&amp,sbo=RZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D&amp,sprefix=uno%252Bblack%252Caps%252C105&amp,sr=8-2&amp,th=1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=8e2bbbd1e7ada2097366838d323b467e&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61TJguAgvFL._AC_SL1500_.jpg,15-40 ans,5 - 20 €,14€,Crémaillère,Jeux de société,Famille,Aime jouer, compétitif,Mixte,Jeux de société,Jeux de carte,,Uno,Non,Non,,,,"""La règle du jeu est la même que pour le UNO classique. Les joueurs doivent associer les cartes qui ont les mêmes couleurs ou chiffres. Les cartes Action et les cartes Défi peuvent changer le cours du jeu
Jeu pour 2 à 10 joueurs à partir de 7 ans""",,,,,,
57,Livres,Livres petite fille,https://www.amazon.fr/Cheveux-Comme-Miens-Latashia-Perry/dp/0997157933/ref=sr_1_3?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=15OE9234J5N2&amp,keywords=livre+petite+fille+noir&amp,qid=1702409312&amp,sprefix=livre+petite+fille+noir+%252Caps%252C93&amp,sr=8-3&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=9cbf0fea9cbad79333a7efc4f9b74bf3&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61wl9TSQeYL._SL1360_.jpg,6 - 12 ans,5 - 20 €,13€,Anniversaire,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,"""Un livre vraiment inspirant. J'ai trouvé cette histoire très belle et facile à comprendre pour les plus petits.""",,,,,
58,Livres,Livres petite fille,https://www.amazon.fr/Cheveux-Comme-Miens-Latashia-Perry/dp/0997157933/ref=sr_1_3?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=15OE9234J5N2&amp,keywords=livre+petite+fille+noir&amp,qid=1702409312&amp,sprefix=livre+petite+fille+noir+%252Caps%252C93&amp,sr=8-3&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=9cbf0fea9cbad79333a7efc4f9b74bf3&camp=1642&creative=6746,https://m.media-amazon.com/images/I/419BOJrBzVL._SX342_SY445_.jpg,6 - 12 ans,5 - 20 €,13€,Noel,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,"""Un livre vraiment inspirant. J'ai trouvé cette histoire très belle et facile à comprendre pour les plus petits.""",,,,,
59,Livres,Livres petite fille,https://www.amazon.fr/Cheveux-Comme-Miens-Latashia-Perry/dp/0997157933/ref=sr_1_3?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=15OE9234J5N2&amp,keywords=livre+petite+fille+noir&amp,qid=1702409312&amp,sprefix=livre+petite+fille+noir+%252Caps%252C93&amp,sr=8-3&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=9cbf0fea9cbad79333a7efc4f9b74bf3&camp=1642&creative=6746,https://m.media-amazon.com/images/I/419BOJrBzVL._SX342_SY445_.jpg,6 - 12 ans,5 - 20 €,13€,L'aïd,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,"""Un livre vraiment inspirant. J'ai trouvé cette histoire très belle et facile à comprendre pour les plus petits.""",,,,,
60,Livres,Livres petite fille,https://www.amazon.fr/Princesses-Noires-daffirmations-Africaines-Antillaises/dp/B0BJH1PPS3/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=3H4VE4OJNJKJY&amp,keywords=livre+fille+noire&amp,qid=1702409603&amp,sprefix=livre+fille+noire%252Caps%252C80&amp,sr=8-1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=3c983a5ea3b8a2315bbbac0833173a61&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51+4FerLb2L._SX342_SY445_.jpg,6 - 12 ans,5 - 20 €,9€,Anniversaire,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,"""Livre de coloriage et d'affirmations positives: Mantras avec portraits de Filles et Femmes Africaines et Antillaises à colorier""",,,,,
61,Livres,Livres petite fille,https://www.amazon.fr/Princesses-Noires-daffirmations-Africaines-Antillaises/dp/B0BJH1PPS3/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=3H4VE4OJNJKJY&amp,keywords=livre+fille+noire&amp,qid=1702409603&amp,sprefix=livre+fille+noire%252Caps%252C80&amp,sr=8-1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=3c983a5ea3b8a2315bbbac0833173a61&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51+4FerLb2L._SX342_SY445_.jpg,6 - 12 ans,5 - 20 €,9€,Noel,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,"""Livre de coloriage et d'affirmations positives: Mantras avec portraits de Filles et Femmes Africaines et Antillaises à colorier""",,,,,
62,Livres,Livres petite fille,https://www.amazon.fr/Princesses-Noires-daffirmations-Africaines-Antillaises/dp/B0BJH1PPS3/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,crid=3H4VE4OJNJKJY&amp,keywords=livre+fille+noire&amp,qid=1702409603&amp,sprefix=livre+fille+noire%252Caps%252C80&amp,sr=8-1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=3c983a5ea3b8a2315bbbac0833173a61&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51+4FerLb2L._SX342_SY445_.jpg,6 - 12 ans,5 - 20 €,9€,L'aïd,Lecture, developpement personnel,Famille, Ami,Aime lire,Femme,Livre, petite fille, personne noir,Livres petite fille,,,Non,Non,,,,"""Livre de coloriage et d'affirmations positives: Mantras avec portraits de Filles et Femmes Africaines et Antillaises à colorier""",,,,,
